file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,94,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,8
style.css,95,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,96,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,0
style.css,97,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,0,1
style.css,98,css,a3961329,Varick Janiro Hasim,2025-04-10,14:14:51,-07:00,2025-04-10T14:14:51-07:00,1,13
style.css,99,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,100,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,101,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,4
style.css,102,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,22
style.css,103,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,104,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,105,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,18
style.css,106,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,16
style.css,107,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,8
style.css,108,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,10
style.css,109,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,19
style.css,110,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,13
style.css,111,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,112,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,113,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,5
style.css,114,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,1,11
style.css,115,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,116,css,36e2dc98,Varick Janiro Hasim,2025-04-17,23:37:27,-07:00,2025-04-17T23:37:27-07:00,0,0
style.css,117,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,18
style.css,118,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,14
style.css,119,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,16
style.css,120,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,121,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,16
style.css,122,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,123,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,124,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,6
style.css,125,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,18
style.css,126,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,29
style.css,127,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,17
style.css,128,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,9
style.css,129,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,130,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,131,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,6
style.css,132,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,11
style.css,133,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,57
style.css,134,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,28
style.css,135,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,11
style.css,136,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,10
style.css,137,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,6
style.css,138,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,139,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,140,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,9
style.css,141,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,12
style.css,142,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,18
style.css,143,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,9
style.css,144,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,145,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,146,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,9
style.css,147,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,12
style.css,148,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,18
style.css,149,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,7
style.css,150,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,151,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,152,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,9
style.css,153,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,13
style.css,154,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,14
style.css,155,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,17
style.css,156,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,157,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,158,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,17
style.css,159,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,16
style.css,160,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,2,11
style.css,161,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,0
style.css,162,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,163,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,0
style.css,164,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,0,4
style.css,165,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,16
style.css,166,css,4620788c,Varick Janiro Hasim,2025-05-02,22:30:58,-07:00,2025-05-02T22:30:58-07:00,1,14
